# Y-M-D   T H:M:S     ObsNum ObsGoal       ObgPgm    SourceName                ProjectId                 RestFreq  VLSR   TINT     RA        DEC          AZ    EL
2022-04-21T00:04:20    98434  Pointing     Map       1222+042                  2021-S1-MX-34                  RSR      0     105.9  185.593957   4.221049  188.2  75.0
2022-04-21T00:07:36    98435  Calibration  Cal       G12-42911                 2021-S1-MX-34                  RSR      0      23.9  175.812833   0.479036  215.0  67.6
2022-04-21T00:08:39    98436  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     360.2  175.812833   0.479036  215.7  67.5
2022-04-21T00:14:51    98437  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     368.7  175.812833   0.479036  218.9  66.6
2022-04-21T00:21:10    98438  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     368.5  175.812833   0.479036  222.1  65.6
2022-04-21T00:28:12    98439  Pointing     Map       1222+042                  2021-S1-MX-34                  RSR      0     106.5  185.593957   4.221049  209.0  73.1
2022-04-21T00:34:53    98441  Pointing     Map       1222+042                  2021-S1-MX-34                  RSR      0     100.8  185.593957   4.221049  213.9  72.3
2022-04-21T00:37:42    98442  Calibration  Cal       G12-42911                 2021-S1-MX-34                  RSR      0      23.2  175.812833   0.479036  229.0  62.8
2022-04-21T00:38:46    98443  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     360.0  175.812833   0.479036  229.5  62.6
2022-04-21T00:45:01    98444  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     360.7  175.812833   0.479036  231.7  61.5
2022-04-21T00:51:17    98445  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     360.4  175.812833   0.479036  233.9  60.3
2022-04-21T00:58:14    98446  Pointing     Map       1222+042                  2021-S1-MX-34                  RSR      0     101.7  185.593957   4.221049  227.7  68.7
2022-04-21T01:01:23    98447  Calibration  Cal       G12-42911                 2021-S1-MX-34                  RSR      0      23.7  175.812833   0.479036  237.0  58.3
2022-04-21T01:02:29    98448  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     371.5  175.812833   0.479036  237.3  58.1
2022-04-21T01:08:52    98449  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     360.9  175.812833   0.479036  239.1  56.8
2022-04-21T01:15:05    98450  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     362.9  175.812833   0.479036  240.7  55.5
2022-04-21T01:22:16    98451  Pointing     Map       1222+042                  2021-S1-MX-34                  RSR      0     101.2  185.593957   4.221049  237.5  64.1
2022-04-21T02:18:34    98467  Pointing     Map       1222+042                  2021-S1-MX-34                  RSR      0     101.7  185.593957   4.221049  251.4  52.0
2022-04-21T02:21:25    98468  Calibration  Cal       G12-42911                 2021-S1-MX-34                  RSR      0      28.2  175.812833   0.479036  253.1  41.1
2022-04-21T02:22:34    98469  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     370.4  175.812833   0.479036  253.3  40.8
2022-04-21T02:28:57    98470  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     361.8  175.812833   0.479036  254.1  39.3
2022-04-21T02:35:15    98471  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     366.5  175.812833   0.479036  255.0  37.9
2022-04-21T02:43:04    98472  Pointing     Map       1222+042                  2021-S1-MX-34                  RSR      0     104.7  185.593957   4.221049  255.4  46.5

2022-04-26T00:00:03    98564  Pointing     Map       1222+042                  2021-S1-MX-34                  RSR      0     104.2  185.593957   4.221049  202.1  74.0
2022-04-26T00:03:24    98565  Calibration  Cal       G12-42911                 2021-S1-MX-34                  RSR      0      26.1  175.812833   0.479036  222.8  65.3
2022-04-26T00:04:24    98566  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     361.7  175.812833   0.479036  223.4  65.1
2022-04-26T00:10:36    98567  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     361.3  175.812833   0.479036  226.1  64.1
2022-04-26T00:16:47    98568  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     363.2  175.812833   0.479036  228.6  63.0
2022-04-26T00:23:26    98569  Calibration  Cal       G12-42911                 2021-S1-MX-34                  RSR      0      23.5  175.812833   0.479036  231.1  61.8
2022-04-26T00:24:26    98570  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     364.3  175.812833   0.479036  231.4  61.6
2022-04-26T00:30:40    98571  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     359.8  175.812833   0.479036  233.6  60.5
2022-04-26T00:36:51    98572  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     361.7  175.812833   0.479036  235.5  59.3
2022-04-26T00:44:03    98573  Calibration  Cal       G12-42911                 2021-S1-MX-34                  RSR      0      22.0  175.812833   0.479036  237.7  57.8
2022-04-26T00:45:06    98574  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     360.1  175.812833   0.479036  238.0  57.6
2022-04-26T00:51:19    98575  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     361.3  175.812833   0.479036  239.6  56.4
2022-04-26T00:57:29    98576  Science      Bs        G12-42911                 2021-S1-MX-34                  RSR      0     360.2  175.812833   0.479036  241.2  55.1
2022-04-26T01:04:38    98577  Pointing     Map       1222+042                  2021-S1-MX-34                  RSR      0      98.4  185.593957   4.221049  238.2  63.7
2022-04-26T02:59:16    98605  Pointing     Map       1310+323                  2021-S1-MX-34                  RSR      0     101.5  197.619433  32.345495  298.6  52.8
2022-04-26T03:02:04    98606  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      23.1  193.200875  34.403758  300.6  48.2
2022-04-26T03:03:02    98607  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     359.7  193.200875  34.403758  300.5  48.0
2022-04-26T03:09:12    98608  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     363.4  193.200875  34.403758  300.2  46.8
2022-04-26T03:15:25    98609  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     361.4  193.200875  34.403758  300.0  45.5
2022-04-26T03:23:35    98610  Pointing     Map       1310+323                  2021-S1-MX-34                  RSR      0      98.0  197.619433  32.345495  297.4  47.7
2022-04-26T03:26:23    98611  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      23.1  193.200875  34.403758  299.6  43.2
2022-04-26T03:27:21    98612  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     360.9  193.200875  34.403758  299.6  43.0
2022-04-26T03:33:33    98613  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     361.5  193.200875  34.403758  299.4  41.8
2022-04-26T03:39:46    98614  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     361.0  193.200875  34.403758  299.3  40.5
2022-04-26T03:46:10    98615  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      23.4  193.200875  34.403758  299.2  39.1
2022-04-26T03:47:15    98616  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     360.5  193.200875  34.403758  299.2  38.9
2022-04-26T03:53:26    98617  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     361.9  193.200875  34.403758  299.1  37.6
2022-04-26T03:59:40    98618  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     359.9  193.200875  34.403758  299.1  36.4
2022-04-26T04:06:07    98619  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      25.3  193.200875  34.403758  299.1  35.0
2022-04-26T04:07:08    98620  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     359.9  193.200875  34.403758  299.1  34.8
2022-04-26T04:13:19    98621  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     361.8  193.200875  34.403758  299.1  33.5
2022-04-26T04:19:32    98622  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     359.8  193.200875  34.403758  299.2  32.2
2022-04-26T04:27:31    98623  Pointing     Map       1310+323                  2021-S1-MX-34                  RSR      0     103.5  197.619433  32.345495  296.6  34.1

2022-05-18T01:08:32    99848  Pointing     Map       1310+323                  2021-S1-MX-34                  RSR      0     100.8  197.619433  32.345495  300.8  57.8
2022-05-18T01:11:16    99849  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      26.1  193.200875  34.403758  302.3  53.1
2022-05-18T01:12:18    99850  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     361.2  193.200875  34.403758  302.2  52.9
2022-05-18T01:18:33    99851  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     359.4  193.200875  34.403758  301.7  51.7
2022-05-18T01:24:42    99852  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     362.2  193.200875  34.403758  301.3  50.4
2022-05-18T01:31:07    99853  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      20.6  193.200875  34.403758  300.8  49.1
2022-05-18T01:32:10    99854  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     365.4  193.200875  34.403758  300.8  48.9
2022-05-18T01:38:24    99855  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     364.2  193.200875  34.403758  300.5  47.6
2022-05-18T01:44:40    99856  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     364.8  193.200875  34.403758  300.2  46.4
2022-05-18T01:51:20    99857  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      24.6  193.200875  34.403758  299.9  45.0
2022-05-18T01:52:26    99858  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0      36.4  193.200875  34.403758  299.9  44.8

2022-05-19T01:06:47    99977  Pointing     Map       1310+323                  2021-S1-MX-34                  RSR      0     102.7  197.619433  32.345495  300.5  57.3
2022-05-19T01:09:35    99978  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      22.9  193.200875  34.403758  302.1  52.7
2022-05-19T01:10:43    99979  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     465.8  193.200875  34.403758  302.0  52.5
2022-05-19T01:18:41    99980  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     448.2  193.200875  34.403758  301.4  50.9
2022-05-19T01:26:21    99981  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     472.4  193.200875  34.403758  300.9  49.3
2022-05-19T01:35:41    99982  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      25.6  193.200875  34.403758  300.4  47.4
2022-05-19T01:36:47    99983  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     442.4  193.200875  34.403758  300.3  47.2
